title,body,labels,milestone
"1.1: Initialize package.json with VSCode extension metadata and dependencies","## Description

Set up package.json with all necessary VSCode extension fields including:
- Extension metadata (name, displayName, description, version, publisher)
- VSCode engine compatibility
- Activation events
- Dependencies (@vscode/test-electron, typescript, webpack/esbuild, etc.)
- Development dependencies (ESLint, Prettier, Jest, ts-node, etc.)

## Acceptance Criteria

- [ ] package.json has all required VSCode extension fields
- [ ] VSCode engine version is set (e.g., ^1.80.0)
- [ ] All necessary dependencies are listed
- [ ] Scripts for build, test, lint, format are defined
- [ ] License field is set (MIT)

## References

- [VSCode Extension Manifest](https://code.visualstudio.com/api/references/extension-manifest)","phase:setup,type:infrastructure,priority:high","Phase 1: Project Setup & Infrastructure"
"1.2: Configure TypeScript (tsconfig.json) with strict mode for VSCode extension","## Description

Create tsconfig.json with strict TypeScript configuration optimized for VSCode extension development.

## Acceptance Criteria

- [ ] Strict mode enabled (strict: true)
- [ ] Target ES2020 or later
- [ ] Module resolution set to Node16
- [ ] Proper include/exclude patterns
- [ ] Source maps enabled for debugging
- [ ] Declaration files generated

## Configuration

```json
{
  ""compilerOptions"": {
    ""module"": ""Node16"",
    ""target"": ""ES2020"",
    ""outDir"": ""out"",
    ""lib"": [""ES2020""],
    ""sourceMap"": true,
    ""strict"": true,
    ""esModuleInterop"": true,
    ""skipLibCheck"": true,
    ""forceConsistentCasingInFileNames"": true
  }
}
```","phase:setup,type:infrastructure","Phase 1: Project Setup & Infrastructure"
"1.3: Set up ESLint with recommended VSCode extension rules","## Description

Configure ESLint with TypeScript support and VSCode extension recommended rules.

## Acceptance Criteria

- [ ] ESLint installed with TypeScript parser
- [ ] @typescript-eslint/parser and plugin configured
- [ ] eslint-plugin-vscode extension rules applied
- [ ] .eslintrc.json or .eslintrc.js created
- [ ] npm run lint script works without errors

## Dependencies

- eslint
- @typescript-eslint/parser
- @typescript-eslint/eslint-plugin
- eslint-plugin-import","phase:setup,type:infrastructure","Phase 1: Project Setup & Infrastructure"
"1.4: Configure Prettier for consistent code formatting","## Description

Set up Prettier with configuration that works well with TypeScript and ESLint.

## Acceptance Criteria

- [ ] Prettier installed
- [ ] .prettierrc.json created with project standards
- [ ] .prettierignore created
- [ ] ESLint-Prettier integration configured (eslint-config-prettier)
- [ ] npm run format script works

## Configuration

- Single quotes: true
- Trailing comma: es5
- Tab width: 2
- Semi: true
- Print width: 100","phase:setup,type:infrastructure","Phase 1: Project Setup & Infrastructure"
"1.5: Create .gitignore with node_modules, out, dist, .vscode-test","## Description

Create comprehensive .gitignore file for VSCode extension development.

## Acceptance Criteria

- [ ] node_modules/ ignored
- [ ] out/ and dist/ ignored
- [ ] .vscode-test/ ignored
- [ ] *.vsix files ignored
- [ ] Coverage reports ignored
- [ ] OS-specific files ignored (.DS_Store, Thumbs.db)
- [ ] IDE files ignored (.idea/, *.swp)","phase:setup,type:infrastructure","Phase 1: Project Setup & Infrastructure"
"1.6: Set up Jest testing framework with TypeScript support","## Description

Configure Jest for unit testing with TypeScript support.

## Acceptance Criteria

- [ ] Jest installed with ts-jest
- [ ] jest.config.js created
- [ ] TypeScript integration working
- [ ] Test script in package.json
- [ ] Sample test file runs successfully

## Dependencies

- jest
- ts-jest
- @types/jest

## Configuration

- Test match: **/__tests__/**/*.test.ts
- Coverage threshold: 80%","phase:setup,type:infrastructure,priority:high","Phase 1: Project Setup & Infrastructure"
"1.7: Configure VSCode extension test runner (@vscode/test-electron)","## Description

Set up VSCode extension integration testing with @vscode/test-electron.

## Acceptance Criteria

- [ ] @vscode/test-electron installed
- [ ] Test runner script created in src/test/
- [ ] Integration test setup complete
- [ ] Can run tests in VSCode Extension Host
- [ ] npm run test:integration script works

## References

- [Testing Extensions](https://code.visualstudio.com/api/working-with-extensions/testing-extension)","phase:setup,type:infrastructure,priority:high","Phase 1: Project Setup & Infrastructure"
"1.8: Create src/ directory structure (extension.ts, commands/, providers/, utils/)","## Description

Create organized source code directory structure for the extension.

## Acceptance Criteria

- [ ] src/ directory created
- [ ] src/extension.ts created (entry point)
- [ ] src/commands/ directory created
- [ ] src/providers/ directory created
- [ ] src/utils/ directory created
- [ ] src/test/ directory created
- [ ] Each directory has index.ts barrel file

## Structure

```
src/
├── extension.ts
├── commands/
│   └── index.ts
├── providers/
│   └── index.ts
├── utils/
│   └── index.ts
└── test/
    └── runTest.ts
```","phase:setup,type:infrastructure","Phase 1: Project Setup & Infrastructure"
"1.9: Set up webpack/esbuild for extension bundling","## Description

Configure bundler (webpack or esbuild) to create optimized extension bundle.

## Acceptance Criteria

- [ ] Bundler installed (recommend esbuild for speed)
- [ ] Build configuration created
- [ ] Minification enabled for production
- [ ] Source maps configured
- [ ] npm run build script works
- [ ] Bundle size < 1MB initially

## Recommendation

Use esbuild for faster builds:
- esbuild
- esbuild-plugin-copy","phase:setup,type:infrastructure","Phase 1: Project Setup & Infrastructure"
"1.10: Create .vscode/launch.json for debugging extension","## Description

Set up VSCode launch configuration for debugging the extension during development.

## Acceptance Criteria

- [ ] .vscode/launch.json created
- [ ] ""Run Extension"" launch configuration works
- [ ] ""Extension Tests"" launch configuration works
- [ ] Breakpoints work in extension code
- [ ] Can debug in Extension Development Host

## Configuration

Should include:
- Launch Extension Development Host
- Attach to Extension Host
- Run Extension Tests","phase:setup,type:infrastructure","Phase 1: Project Setup & Infrastructure"
